"Title","Movie Release Year","Running Time","Genre","Director","Country","Front Cover","Trailer URLs","Format","IMDb Rating","Location","Musician","Writer","Actor","Audience Rating","Audio Tracks","Extras","Features","Movie Release Date","Plot","Producer","Release Date","Release Year","Back Cover","Backdrop","Barcode","Box set","Chapters","Cinematography","Distributor","Edition","Episodes","Extra Features"
"Fast & Furious","2009","107 mins","Thriller; Crime; Action","Justin Lin","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\FastFurious20091873_f.jpg","http://www.youtube.com/watch?v=ucO27notQno","Blu-ray Disc","6.4","","Brian Tyler","Gary Scott Thompson; Chris Morgan","Vin Diesel as Dominic Toretto; Paul Walker as Brian O'Conner; Jordana Brewster as Mia Toretto; Michelle Rodriguez as Letty; John Ortiz as Campos; Laz Alonso as Fenix Rise; Gal Gadot as Gisele Harabo; Jack Conley as Penning; Shea Whigham as Agent Ben Stasiak; Liza Lapira as Agent Sophie Trinh; Sung Kang as Han Lue; Don Omar as Himself; Mirtha Michelle as Cara; Greg Cipes as Dwight; Tego Calderon as Tego","PG-13 (Parents Strongly Cautioned)","DTS 5.1 [French]; DTS 5.1 [Spanish]; DTS-HD Master Audio 5.1 [English]","","","2009","When a crime brings them back to L.A., fugitive ex-con Dom Toretto reignites his feud with agent Brian O'Conner. But as they are forced to confront a shared enemy, Dom and Brian must give in to an uncertain new trust if they hope to outmaneuver him. And the two men will find the best way to get revenge: push the limits of what's possible behind the wheel.","Vin Diesel; Neal H. Moritz","7/28/2009","2009","C:\Users\zerom_000\Documents\Movie Collector\Images\FastFurious20091873_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\FastFurious20091873_d.jpg","025195052108","","0","Amir M. Mokri","Universal Studios","Special Edition","0","Original Short Film: Los Bandoleros Under the Hood - Muscle Cars & Imports Getting the Gang Back Together Driving School with Vin Diesel Shooting the Big Rig Heist D-Box Motion Enabled And More! Includes Digital Copy Of Fast & Furious For Portable Media Players"
"The Fast And The Furious","2001","106 mins","Crime; Action","Rob Cohen","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\TheFastAndTheFurious200119332_f.jpg","http://www.youtube.com/watch?v=ar00z32bXNQ","DVD","6.0","","BT","Gary Scott Thompson; Ken Li","Vin Diesel as Dominic Toretto; Jordana Brewster as Mia Toretto; Michelle Rodriguez as Letty; Ja Rule as Edwin; Paul Walker as Brian O'Conner; Rick Yune as Johnny Tran; Ted Levine as Sgt. Tanner; Chad Lindberg as Jesse; Matt Schulze as Vince; Johnny Strong as Leon","PG-13 (Parents Strongly Cautioned)","Dolby Digital 5.1 [English]; DTS 5.1 [English]; Dolby Digital Surround [French]","","","2001","Domenic Toretto is a Los Angeles street racer suspected of masterminding a series of big-rig hijackings. When undercover cop Brian Spindler infiltrates Toretto's iconoclastic crew, he falls for Toretto's sister and must choose a side: the gang or the LAPD.","John Pogue; Doug Claybourne","1/2/2002","2002","C:\Users\zerom_000\Documents\Movie Collector\Images\TheFastAndTheFurious200119332_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\TheFastAndTheFurious200119332_d.jpg","025192127021","","0","Ericson Core","Universal Studios","Collector's Edition","0","Interactive Eight Camera Angle Stunt Sequence - Get behind the camera from eight different locations and witness as never-before the final stunt Movie Magic Interactive Special Effects - A unique look at the train and car footage shot independently then merged to create the final film sequence Visual Effects Montage Featuring the First Race Racer X: The Article that Inspired the Movie The Making of The Fast and the Furious Feature Commentary With Director Rob Cohen Exclusive Featurette on Editing For the Motion Picture Association of America Deleted Scenes With Optional Director Commentary Storyboards to Final Feature Comparison Music Videos: Ja Rule 'Furious', Caddillac Tah 'POV City Anthem' and Saliva 'Click Click Boom' Theatrical Trailer"
"The Fast And The Furious: Tokyo Drift","2006","104 mins","Thriller; Crime","Justin Lin","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\TheFastAndTheFuriousToky598_f.jpg","http://www.youtube.com/watch?v=y8rJHnYWb3Q","HD-DVD","5.6","","Brian Tyler","Chris Morgan","Lucas Black as Sean Boswell; Zachery Ty Bryan as Clay; Nikki Griffin as Cindy - Clay's Girlfriend; Lynda Boyd as Mrs. Boswell; Brian Goodman as Major Boswell; Nathalie Kelley as Neela; Bow Wow as Twinkie; Brian Tee as D.K.; Sung Kang as Han; Sonny Chiba as Uncle Kamata","PG-13 (Parents Strongly Cautioned)","Dolby Digital 5.1 [English]; Dolby Digital 5.1 [French]; Dolby Digital 5.1 [Spanish]; Dolby Digital Stereo; Dolby Digital 5.1 EX [English]; Dolby Digital Plus 5.1 [English]; Dolby Digital Plus 5.1 [French]; Dolby Digital Plus 5.1 [Spanish]","","","2006","In order to avoid a jail sentence, Sean Boswell heads to Tokyo to live with his military father. In a low-rent section of the city, Shaun gets caught up in the underground world of drift racing","Neal H. Moritz; Clayton Townsend","9/26/2006","2006","C:\Users\zerom_000\Documents\Movie Collector\Images\TheFastAndTheFuriousToky598_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\TheFastAndTheFuriousToky598_d.jpg","025193002426","","0","Stephen F. Windon","Universal Studios","","0","Picture in Picture ·Access Interactive Bonus Features, Including Cast Interviews and Behind-the-Scenes Footage, Throughout the Film, All without Interruption to the Movie Experience. Storyboards ·Explore Sequences from Concept to Film with Storyboards During the Movie. Tech Specs ·Check Out the Tech Specs on All the Hot Rides While You Watch the Film. GPS ·Follow the Cars on a GPS Map as You Watch the Movie's Most Intense Racing Sequence. Production Photographs ·Go Behind the Scenes with Photographs from the Set While You Watch the Movie. Custom-Made Drifter ·Design You Own Tricked-Out Custom Car, Then Watch it in Action in a Scene from the Movie The Japanese Way ·Go on Location with the Cast and Crew to High-Intensity Tokyo. The Real Drift King ·Meet the Japanese Underworld's Real-Life 'Drift King' Drifting School ·Watch the Cast Get Put Through Their Paces as They Master the Art of Drifting. Tricked Out to Drift ·Find out How Filmmakers Customized Over 230 Cars for Stunts, Crashes and Pure Adrenaline! Feature Commentary, Deleted Scenes and More!"
"The Fast And The Furious: Tokyo Drift","2006","104 mins","Thriller; Crime; Action","Justin Lin","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\TheFastAndTheFuriousToky21528_f.jpg","http://www.youtube.com/watch?v=y8rJHnYWb3Q","DVD","5.6","","Brian Tyler","Chris Morgan","Lucas Black as Sean Boswell; Zachery Ty Bryan as Clay; Nikki Griffin as Cindy - Clay's Girlfriend; Lynda Boyd as Mrs. Boswell; Brian Goodman as Major Boswell; Nathalie Kelley as Neela; Bow Wow as Twinkie; Brian Tee as D.K.; Sung Kang as Han; Sonny Chiba as Uncle Kamata","PG-13 (Parents Strongly Cautioned)","Dolby Digital 5.1 [English]; Dolby Digital 5.1 [French]; Dolby Digital 5.1 [Spanish]","","","2006","In order to avoid a jail sentence, Sean Boswell heads to Tokyo to live with his military father. In a low-rent section of the city, Shaun gets caught up in the underground world of drift racing","Neal H. Moritz; Clayton Townsend","7/28/2009","2009","C:\Users\zerom_000\Documents\Movie Collector\Images\TheFastAndTheFuriousToky21528_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\TheFastAndTheFuriousToky21528_d.jpg","025193064929","","0","Stephen F. Windon","Universal Studios","","0","· Deleted Scenes · Tricked Out to Drift: Find Out How Filmmakers Customized Over 230 Cars For Stunts, Crashes and Pure Adrenaline! · The Japanese Way: Go On Location with the Cast and Crew to High-Intensity Tokyo. · Feature Commentary with Director Justin Lin · And More!"
"Fast Five","2011","130 mins","Drama; Thriller; Crime; Action","Justin Lin","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\FastFive20111888_f.jpg","http://www.youtube.com/watch?v=uSDNZeRX_1Y","Blu-ray Disc","7.6","","Brian Tyler","Gary Scott Thompson; Chris Morgan","Dwayne Johnson as Hobbs; Vin Diesel as Dominic Toretto; Paul Walker as Brian O'Conner; Jordana Brewster as Mia Toretto; Tyrese Gibson as Roman Pearce; Elsa Pataky as Elena Neves; Matt Schulze as Vince; Sung Kang as Han; Gal Gadot as Gisele Harabo; Joaquim de Almeida as Hernan Reyes; Michael Irby as Zizi; Alimi Ballard as Fusco; TJ Hassan; Geoff Meed as Macroy; Don Omar as Rico","R (Restricted)","DTS 5.1 [English]; DTS 5.1 [French]; DTS 5.1 [Spanish]; Dolby Digital Stereo [English]; DTS [English]","","","2011","Former cop Brian O'Conner partners with ex-con Dom Toretto on the opposite side of the law. Since Brian and Mia Toretto broke Dom out of custody, they've blown across many borders to elude authorities. Now backed into a corner in Rio de Janeiro, they must pull one last job in order to gain their freedom.","Justin Lin; Vin Diesel","10/4/2011","2011","C:\Users\zerom_000\Documents\Movie Collector\Images\FastFive20111888_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\FastFive20111888_d.jpg","025192107191","","0","Amir M. Mokri; Stephen F. Windon","Universal Studios Home Entertainment","2 Disc Blu-Ray, DVD & Digital Copy Edition","0","Universal's Second Screen * The Big Train Heist * Reuniting the Team * A New Set of Wheels * Dom vs. Hobbs * Tyrese TV * Inside the Vault Chase * On Set with Director Justin Lin * Deleted Scenes * Gag Reel * Dom's Journey * Brian O'Conner: From Fed to Con * Enter Federal Agent Hobbs * Feature Commentary with Director Justin Lin * Pocket Blu * BD Live Enabled * Digital Copy Of Feature Film"
"Fay Grim","2006","118 mins","Thriller; Action","Hal Hartley","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\FayGrim200628958_f.jpg","http://www.youtube.com/watch?v=yPJEcWENnH8","DVD","6.5","","","Hal Hartley","Parker Posey as Fay Grim; D.J. Mendel as Father Lang; Liam Aiken as Ned Grim; Megan Gay as Principal; Jasmin Tabatabai as Milla; Chuck Montgomery as Angus James; James Urbaniak as Simon Grim; John Keogh as Prosecutor; Claudia Michelsen as Judge; Jeff Goldblum as Agent Fulbright; Leo Fitzpatrick as Carl Fogg; J.E. Heys as Herzog; Aminata Seck as Woman Visitor at Prison; David Scheller as Convict Husband; Aoibheann O'Hara as ER Nurse","NR (Not Rated)","Dolby Digital 5.1 [English]","","","2006","A ten-years-later continuation of Hal Hartley's 'Henry Fool', where Fay Grim (Posey) is coerced by a CIA agent (Goldblum) to try and locate notebooks that belonged to her fugitive ex-husband (Ryan). Published in them is information that could compromises the security of the U.S., causing Fay to first head to Paris to fetch them...","Hal Hartley; Ted Hope","5/22/2007","2007","C:\Users\zerom_000\Documents\Movie Collector\Images\FayGrim200628958_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\FayGrim200628958_d.jpg","876964000857","","0","","","","0","Making of Fay Grim Higher Definitions: Fay Grim Episode Deleted Scenes Hal Hartley's Fay Grim Trailer"
"Fear","1996","97 mins","Drama; Horror; Thriller","James Foley","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\Fear199627811_f.jpg","http://www.youtube.com/watch?v=iWWxwVQH9qo","DVD","5.9","","Carter Burwell","Christopher Crowe","Mark Wahlberg as David McCall; Reese Witherspoon as Nicole Walker; William Petersen as Steve Walker; Amy Brenneman as Laura Walker; Alyssa Milano as Margo Masse; Christopher Gray as Toby; Tracy Fraim as Logan; Andrew Airlie as Alex McDowell; John Oliver as Eddie Clark; Jason Kristofer as Terry; William L. Petersen as Steve Walker; Gary Riley as Hacker; Jed Rees as Knobby; Todd Caldecott as Gary Rohmer; David Fredericks as Larry O'Brien","R (Restricted)","Dolby Digital 5.1 [English]; Dolby Digital Stereo [Spanish]; Dolby Digital Surround [French]","","","1996","A 16 year old girl takes up with a charming young man who quickly shows his colors when he beats a friend simply for walking with her and then goes totally ballistic after she tries to break up with him.","Brian Grazer; Ric Kidney","10/27/1998","1998","C:\Users\zerom_000\Documents\Movie Collector\Images\Fear199627811_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\Fear199627811_d.jpg","025192039324","","0","Thomas Kloss","Universal Studios","","0","Film Highlights, Web Links"
"The Fifth Element","1997","126 mins","Science Fiction; Fantasy; Action","Luc Besson","France","C:\Users\zerom_000\Documents\Movie Collector\Images\TheFifthElement199722555_f.jpg","http://www.youtube.com/watch?v=OoKssDjs64o","DVD","7.5","","Eric Serra; Cheb Khaled","Luc Besson; Robert Mark Kamen","Bruce Willis as Major Korben Dallas; Charlie Creed-Miles as David; Lee Evans as Fog; Ian Holm as Priest Vito Cornelius; Brion James as General Munro; Milla Jovovich as Leeloo; John Bluthal as Professor Pacoli; Christopher Fairbank as Mactilburgh; John Neville as General Staedert; Gary Oldman as Jean-Baptiste Emanuel Zorg; Luke Perry as Billy; Chris Tucker as DJ Ruby Rhod; Tom Tiny Lister Jr. as President Lindberg","PG-13 (Parents Strongly Cautioned)","Dolby Digital 5.1 [English (Closed Captioned)]; Dolby Digital Stereo [Spanish]; Dolby Digital Stereo [English (Closed Captioned)]","","","1997","It’s the year 2257 and a taxi driver has been unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity. The Fifth Element is filmed in a futuristic metropolitan city and in a French comic book asthetic by a controversial British, French and American lineup.","Luc Besson; Patrice Ledoux","12/9/1997","1997","C:\Users\zerom_000\Documents\Movie Collector\Images\TheFifthElement199722555_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\TheFifthElement199722555_d.jpg","043396824096","","0","Thierry Arbogast","Sony Pictures","","0","Interactive Menus Scene Selections"
"Final Destination 2","2003","91 mins","Horror; Thriller","David R. Ellis","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\FinalDestination2200321997_f.jpg","http://www.youtube.com/watch?v=EEUYk2xU4R0","DVD","6.3","","Shirley Walker","Eric Bress; J. Mackye Gruber","Lynda Boyd as Nora Carpenter; Terrence Carson as Eugene Dix; Jonathan Cherry as Rory Peters; A.J. Cook as Kimberly Corman; James Kirk as Tim Carpenter; Michael Landes as Thomas Burke; Ali Larter as Clear Rivers; David Paetkau as Evan Lewis; Tony Todd as William Bludworth; Keegan Connor Tracy as Kat; Justina Machado as Isabella Hudson; Sarah Carter as Shaina; Alex Rae as Dano; Shaun Sipos as Frankie; Andrew Airlie as Mr. Corman","R (Restricted)","Dolby Digital 5.1 EX [English (Closed Captioned)]; DTS 6.1 ES [English (Closed Captioned)]","","","2003","When Kimberly has a violent premonition of a highway pileup she blocks the freeway, keeping a few others meant to die, safe...Or are they? The survivors mysteriously start dying and it's up to Kimberly to stop it before she's next.","Craig Perry; Toby Emmerich","7/22/2003","2003","C:\Users\zerom_000\Documents\Movie Collector\Images\FinalDestination2200321997_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\FinalDestination2200321997_d.jpg","794043627828","","0","Gary Capo","New Line Cinema","","0","Beyond the Movie Features: · The Terror Gauge · Cheating Death: Beyond and Back · Fact Track All-Access Pass Features: · Filmmaker Commentary - Director David Ellis, Producer Craig Perry, and Screenwriters Eric Bress and J. Mackye Gruber · Bits & Pieces: Bringing Death to Life · Deleted/Alternate Scenes with Commentary · Trailers DVD-ROM Content: · Links to Original Website · Exclusive on-Disc ROM content includes: Script-to-Screen, Wallpapers, 'Chain Reaction' and more! · Exclusive Content at Infinifilm.com"
"Fire With Fire","2012","97 mins","Drama; Thriller; Romance; Crime; Action","David Barrett; David Bartlett","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\FireWithFire201239051_f.jpg","http://www.youtube.com/watch?v=j9Auh9MI-Kw","DVD","5.0","","Trevor Morris","Tom O'Connor; Lowell Cauffiel","50 Cent as Emilio; Arie Verveen as Darren; Bonnie Somerville as Karen Westlake; Rosario Dawson as Talia Durham; Vincent D'Onofrio as David Hagan; Josh Duhamel as Jeremy Coleman; Vinnie Jones as Boyd; Bruce Willis as Mike Cella; Richard Schiff as Harold Gethers; James Lesure as Craig; Eric Winter as Adam; Yohance Myles as Deputy Parker; Quinton Jackson as Wallace; Kevin Dunn as Agent Calvin Mullens; Nnamdi Asomugha as Sherrod","R (Restricted)","Dolby Digital 5.1 [English]","","","2012","A fireman takes an unexpected course of action when a man whom he's been ordered to testify against, after being held up at a local convenience store, threatens him.","Randall Emmett; George Furla","11/6/2012","2012","","C:\Users\zerom_000\Documents\Movie Collector\Images\FireWithFire201239051_d.jpg","031398160281","","0","Christopher Probst","Lions Gate","","0","Commentary with Director David Barrett and Cinematographer Christopher Probst Actors' Commentary Behind the Scenes with Interviews Extended Interviews with Cast and Crew Trailer Gallery"
"Fired Up","2009","90 mins","Comedy","Will Gluck","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\FiredUp200925478_f.jpg","http://www.youtube.com/watch?v=FunEaEhtmFQ","DVD","6.0","","","Freedom Jones","Sarah Roemer as Carly; Molly Sims as Diora; AnnaLynne McCord as Gwyneth; John Michael Higgins as Coach Keith; Eric Christian Olsen as Nick Brady; Danneel Harris as Bianca; Nicholas D'Agosto as Shawn Colfax; Margo Harshman as Sylvia; Julianna Guill as Agy; Hayley Marie Norman as Angela; Smith Cho as Beth; Juliette Goglia as Poppy; Jill Latiano as Haley; Amber Stevens as Sara; Philip Baker Hall as Coach Byrnes","UR (Unrated)","Dolby Digital 5.1 [English]; Dolby Digital Surround [French]","","","2009","2 Guys. 300 Girls. You Do the Math. The two most popular guys in high school decide to ditch football camp for cheerleader camp. For the girls and for the glory.","Peter Jaysen; Paddy Cullen","6/9/2009","2009","C:\Users\zerom_000\Documents\Movie Collector\Images\FiredUp200925478_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\FiredUp200925478_d.jpg","043396323087","","0","Thomas E. Ackerman","Sony Pictures","Unrated Edition","0","Commentary with Director Will Gluck, Nicholas D'Agosto and Eric Christian Olsen This is Not a Cheerleading Movie: The Making of Fired Up! Double Duty Gag Reel - Uncensored Version Fired Up! Press Junket - Hour 12"
